    0.000    4.515
    0.200    4.603
    0.400    4.703
    0.600    4.827
    0.800    4.986
    1.000    5.193
    1.200    5.460
    1.400    5.797
    1.600    6.218
    1.800    6.734
    2.000    7.357
    2.200    6.624
    2.400    6.004
    2.600    5.488
    2.800    5.071
    3.000    4.747
    3.200    4.507
    3.400    4.345
    3.600    4.256
    3.800    4.231
    4.000    4.264
    4.200    4.349
    4.400    4.476
    4.600    4.637
    4.800    4.822
    5.000    5.024
    5.200    5.233
    5.400    5.440
    5.600    5.637
    5.800    5.814
    6.000    5.963
    6.200    6.076
    6.400    6.152
    6.600    6.189
    6.800    6.188
    7.000    6.147
    7.200    6.067
    7.400    5.946
    7.600    5.784
    7.800    5.580
    8.000    5.334
    8.200    5.048
    8.400    4.732
    8.600    4.399
    8.800    4.061
    9.000    3.732
    9.200    3.424
    9.400    3.150
    9.600    2.922
    9.800    2.754
   10.000    2.658
   10.200    2.644
   10.400    2.706
   10.600    2.836
   10.800    3.026
   11.000    3.267
   11.200    3.550
   11.400    3.867
   11.600    4.210
   11.800    4.569
   12.000    4.938
